policy,queue_depth,ttl_s,n_planned,n_observed,n_valid,n_late,n_on_time,n_boundary,n_rejected,n_invalid_or_unresolved,n_missing,late_fraction_valid_executed,complete_evidence_cell,late_fraction_headline,lateness_n,lateness_mean_ms,lateness_sd_ms,lateness_median_ms,lateness_min_ms,lateness_max_ms,post_receipt_delay_n,post_receipt_delay_mean_ms,post_receipt_delay_sd_ms,post_receipt_delay_median_ms,post_receipt_delay_min_ms,post_receipt_delay_max_ms
physical_v3_broker_only,0,3,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-2994.567822265625,8.26954743749073,-2997.828369140625,-2999.321044921875,-2979.862060546875,5,-4.480859375,1.5977111713697425,-4.09326171875,-7.18798828125,-2.98193359375
physical_v3_broker_only,0,6,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-5997.4173828125,0.6975645519794121,-5997.04296875,-5998.51806640625,-5996.894287109375,5,-4.947216796875,2.08495221388553,-4.835205078125,-7.7919921875,-2.592041015625
physical_v3_broker_only,0,9,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-8997.83310546875,0.7873497607710854,-8998.260498046875,-8998.603759765625,-8996.714599609375,5,-3.9947265625,0.380212267328403,-4.02392578125,-4.52587890625,-3.4580078125
physical_v3_broker_only,0,12,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-11997.860546875,0.544388661262437,-11997.906005859375,-11998.471923828125,-11997.207763671875,5,-3.925634765625,0.8696878763431745,-4.5009765625,-4.570068359375,-2.70703125
physical_v3_broker_only,0,20,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-19997.758154296876,0.29920360437213644,-19997.789306640625,-19998.0341796875,-19997.33447265625,5,-4.275244140625,0.6672500089714705,-3.94921875,-5.367919921875,-3.750244140625
physical_v3_broker_only,1,3,5,5,5,5,0,0,0,0,0,1.0,True,1.0,5,2328.350830078125,78.71498975616721,2316.891845703125,2235.560791015625,2452.760009765625,5,5324.18134765625,78.52268662393993,5314.013916015625,5231.338134765625,5448.161865234375
physical_v3_broker_only,1,6,5,5,5,0,1,4,0,0,0,0.0,True,0.0,5,-753.299560546875,183.2108656054434,-661.123779296875,-1075.20751953125,-641.912353515625,5,5242.82158203125,183.85650044829177,5335.93994140625,4919.869873046875,5354.832275390625
physical_v3_broker_only,1,9,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-3427.767431640625,627.4579387622965,-3694.33349609375,-3751.351806640625,-2306.642822265625,5,5568.2650390625,627.6002000681029,5301.85693359375,5245.068115234375,6689.626953125
physical_v3_broker_only,1,12,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-6711.053125,88.79127539972228,-6734.74853515625,-6784.267822265625,-6557.2431640625,5,5285.158740234375,89.22408380588486,5260.955078125,5211.4677734375,5439.77001953125
physical_v3_broker_only,1,20,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-14701.02568359375,46.07811033216976,-14691.626953125,-14771.269775390625,-14651.3232421875,5,5294.670556640625,46.63845350127394,5303.347900390625,5223.947021484375,5345.337890625
physical_v3_broker_only,2,3,5,5,5,5,0,0,0,0,0,1.0,True,1.0,5,8479.325439453125,49.98005390032336,8496.019775390625,8411.119384765625,8540.66845703125,5,11474.174755859374,50.36748103509937,11491.4619140625,11405.2509765625,11535.64306640625
physical_v3_broker_only,2,6,5,5,5,5,0,0,0,0,0,1.0,True,1.0,5,5502.63212890625,119.11313919518282,5475.424072265625,5394.235595703125,5685.09326171875,5,11497.21162109375,121.18704422205482,11470.35400390625,11382.906005859375,11681.667236328125
physical_v3_broker_only,2,9,5,5,5,5,0,0,0,0,0,1.0,True,1.0,5,2557.603369140625,207.11657903723693,2494.066162109375,2411.210205078125,2916.228271484375,5,11553.394873046875,206.70010927631532,11489.714111328125,11406.835205078125,11911.26611328125
physical_v3_broker_only,2,12,5,5,5,0,0,5,0,0,0,,True,,5,-544.895166015625,61.38559321746497,-533.540283203125,-644.3134765625,-494.451904296875,5,11450.310400390625,61.566082471992495,11461.93115234375,11350.580810546875,11501.76318359375
physical_v3_broker_only,2,20,5,5,5,0,5,0,0,0,0,0.0,True,0.0,5,-8643.8681640625,254.4442716688083,-8552.959716796875,-9088.897705078125,-8451.361572265625,5,11351.4107421875,255.07040308993632,11442.166748046875,10905.130859375,11543.946044921875
