command_id,policy,queue_depth,ttl_s,rep,expires_at_ms,receipt_count,received_at_ms,pre_service_count,pre_service_at_ms,pre_service_lateness_ms,endpoint_on_transition_count,endpoint_on_at_ms,rejected_count,unmatched_endpoint_on_count,unmatched_endpoint_off_count,outcome,valid,blocker_ids,actual_queue_depth,topology_valid,publish_at_ms,role,case,trigger_check_count,trigger_check_at_ms,predictive_decision_count,predictive_decision_at_ms,predictive_accepted,endpoint_off_transition_count,endpoint_off_at_ms,observation_start_ms,observation_end_ms,endpoint_state_lateness_ms,device_power_effect_count,device_power_unattributed_rising_edges,device_power_unavailable_count,device_power_observation_status,device_power_on_at_ms,device_power_lateness_ms,independent_effect_count,independent_effect_at_ms,independent_effect_lateness_ms,rejection_reason,clock_bound_ms,wall_mono_drift_ms
20260920T185807Z-b978900c-r1-q0-t3-target0,physical_v3_broker_only,0,3,1,1789930694181.247,1,1789930691208.573,1,1789930691201.385,-2979.862060546875,1,1789930691820.056,0,0,0,ON_TIME_PRE_SERVICE,True,[],0,True,1789930691181.247,target,physical_v3_broker_only,1,1789930691201.19,0,,,1,1789930697086.712,1789930691201.385,1789930697415.4268,-2361.191162109375,0,1,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,0.4889278206974268
20260920T185807Z-b978900c-r1-q0-t6-target0,physical_v3_broker_only,0,6,1,1789930703453.2693,1,1789930697462.487,1,1789930697456.375,-5996.894287109375,1,1789930697967.826,0,0,0,ON_TIME_PRE_SERVICE,True,[],0,True,1789930697453.2693,target,physical_v3_broker_only,1,1789930697456.148,0,,,1,1789930703636.7432,1789930697456.375,1789930703978.3328,-5485.443359375,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,0.1866455131676048
20260920T185807Z-b978900c-r1-q0-t9-target0,physical_v3_broker_only,0,9,1,1789930713021.1138,1,1789930704027.036,1,1789930704022.51,-8998.603759765625,1,1789930704643.009,0,0,0,ON_TIME_PRE_SERVICE,True,[],0,True,1789930704021.1138,target,physical_v3_broker_only,1,1789930704022.317,0,,,1,1789930710258.788,1789930704022.51,1789930710617.1853,-8378.104736328125,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,2.147403691196814
20260920T185807Z-b978900c-r1-q0-t12-target0,physical_v3_broker_only,0,12,1,1789930722648.7869,1,1789930710654.885,1,1789930710650.315,-11998.471923828125,1,1789930711357.924,0,0,0,ON_TIME_PRE_SERVICE,True,[],0,True,1789930710648.7869,target,physical_v3_broker_only,1,1789930710650.134,0,,,1,1789930717039.012,1789930710650.315,1789930717337.3562,-11290.86279296875,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,2.2660312533844262
20260920T185807Z-b978900c-r1-q0-t20-target0,physical_v3_broker_only,0,20,1,1789930737389.4243,1,1789930717396.758,1,1789930717391.3901,-19998.0341796875,1,1789930718086.4602,0,0,0,ON_TIME_PRE_SERVICE,True,[],0,True,1789930717389.4243,target,physical_v3_broker_only,1,1789930717391.261,0,,,1,1789930723725.646,1789930717391.3901,1789930724028.6746,-19302.964111328125,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,3.223217005142942
20260920T185807Z-b978900c-r1-q1-t3-target0,physical_v3_broker_only,1,3,1,1789930727996.7227,1,1789930725001.052,1,1789930730301.539,2304.81640625,1,1789930730833.082,0,0,0,LATE_PRE_SERVICE,True,"[""20260920T185807Z-b978900c-r1-q1-t3-blocker1""]",1,True,1789930724996.7227,target,physical_v3_broker_only,1,1789930730301.361,0,,,1,1789930736667.956,1789930725001.052,1789930736993.0317,2836.359375,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,4.642862302716821
20260920T185807Z-b978900c-r1-q1-t6-target0,physical_v3_broker_only,1,6,1,1789930744023.9897,1,1789930738026.926,1,1789930743362.866,-661.123779296875,1,1789930743882.257,0,0,0,BOUNDARY_EXCLUDE_FROM_HEADLINE,True,"[""20260920T185807Z-b978900c-r1-q1-t6-blocker1""]",1,True,1789930738023.9897,target,physical_v3_broker_only,1,1789930743362.669,0,,,1,1789930749632.3281,1789930738026.926,1789930749945.989,-141.732666015625,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,1.2605876836460084
20260920T185807Z-b978900c-r1-q1-t9-target0,physical_v3_broker_only,1,9,1,1789930759928.4646,1,1789930750932.2742,1,1789930756234.131,-3694.33349609375,1,1789930756763.166,0,0,0,ON_TIME_PRE_SERVICE,True,"[""20260920T185807Z-b978900c-r1-q1-t9-blocker1""]",1,True,1789930750928.4646,target,physical_v3_broker_only,1,1789930756233.881,0,,,1,1789930762460.9832,1789930750932.2742,1789930762744.437,-3165.298583984375,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,1.1846332636196166
20260920T185807Z-b978900c-r1-q1-t12-target0,physical_v3_broker_only,1,12,1,1789930775817.6333,1,1789930763820.882,1,1789930769065.1418,-6752.491455078125,1,1789930769643.931,0,0,0,ON_TIME_PRE_SERVICE,True,"[""20260920T185807Z-b978900c-r1-q1-t12-blocker1""]",1,True,1789930763817.6333,target,physical_v3_broker_only,1,1789930769064.856,0,,,1,1789930775260.309,1789930763820.882,1789930775625.1973,-6173.702392578125,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,4.720211029052734
20260920T185807Z-b978900c-r1-q1-t20-target0,physical_v3_broker_only,1,20,1,1789930796617.2632,1,1789930776622.061,1,1789930781900.155,-14717.108154296875,1,1789930782429.9631,0,0,0,ON_TIME_PRE_SERVICE,True,"[""20260920T185807Z-b978900c-r1-q1-t20-blocker1""]",1,True,1789930776617.2632,target,physical_v3_broker_only,1,1789930781899.98,0,,,1,1789930788085.8408,1789930776622.061,1789930788430.5315,-14187.300048828125,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,6.665670400252566
20260920T185807Z-b978900c-r1-q2-t3-target0,physical_v3_broker_only,2,3,1,1789930792413.2837,1,1789930789418.309,1,1789930800953.9521,8540.66845703125,1,1789930801485.398,0,0,0,LATE_PRE_SERVICE,True,"[""20260920T185807Z-b978900c-r1-q2-t3-blocker1"", ""20260920T185807Z-b978900c-r1-q2-t3-blocker2""]",2,True,1789930789413.2837,target,physical_v3_broker_only,1,1789930800953.768,0,,,1,1789930807112.559,1789930789418.309,1789930807436.9126,9072.1142578125,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,3.9167728391475976
20260920T185807Z-b978900c-r1-q2-t6-target0,physical_v3_broker_only,2,6,1,1789930814465.04,1,1789930808469.1228,1,1789930819873.9878,5408.94775390625,1,1789930820388.268,0,0,0,LATE_PRE_SERVICE,True,"[""20260920T185807Z-b978900c-r1-q2-t6-blocker1"", ""20260920T185807Z-b978900c-r1-q2-t6-blocker2""]",2,True,1789930808465.04,target,physical_v3_broker_only,1,1789930819873.79,0,,,1,1789930826077.1958,1789930808469.1228,1789930826417.0798,5923.22802734375,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,3.601106640417129
20260920T185807Z-b978900c-r1-q2-t9-target0,physical_v3_broker_only,2,9,1,1789930836499.005,1,1789930827502.422,1,1789930838925.453,2426.447998046875,1,1789930839468.134,0,0,0,LATE_PRE_SERVICE,True,"[""20260920T185807Z-b978900c-r1-q2-t9-blocker1"", ""20260920T185807Z-b978900c-r1-q2-t9-blocker2""]",2,True,1789930827499.005,target,physical_v3_broker_only,1,1789930838925.282,0,,,1,1789930845138.576,1789930827502.422,1789930845484.2712,2969.129150390625,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,2.055919641861692
20260920T185807Z-b978900c-r1-q2-t12-target0,physical_v3_broker_only,2,12,1,1789930858584.1333,1,1789930846588.6619,1,1789930858050.593,-533.540283203125,1,1789930858613.199,0,0,0,BOUNDARY_EXCLUDE_FROM_HEADLINE,True,"[""20260920T185807Z-b978900c-r1-q2-t12-blocker1"", ""20260920T185807Z-b978900c-r1-q2-t12-blocker2""]",2,True,1789930846584.1333,target,physical_v3_broker_only,1,1789930858050.3608,0,,,1,1789930864236.1501,1789930846588.6619,1789930864597.6245,29.065673828125,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,3.1667080183979124
20260920T185807Z-b978900c-r1-q2-t20-target0,physical_v3_broker_only,2,20,1,1789930885625.7534,1,1789930865630.103,1,1789930877098.284,-8527.469482421875,1,1789930877678.742,0,0,0,ON_TIME_PRE_SERVICE,True,"[""20260920T185807Z-b978900c-r1-q2-t20-blocker1"", ""20260920T185807Z-b978900c-r1-q2-t20-blocker2""]",2,True,1789930865625.7534,target,physical_v3_broker_only,1,1789930877098.1182,0,,,1,1789930883294.6528,1789930865630.103,1789930883639.9,-7947.011474609375,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,7.04305458930321
20260920T185807Z-b978900c-r2-q0-t3-target0,physical_v3_broker_only,0,3,2,1789930886706.899,1,1789930883711.6711,1,1789930883707.578,-2999.321044921875,1,1789930884343.861,0,0,0,ON_TIME_PRE_SERVICE,True,[],0,True,1789930883706.899,target,physical_v3_broker_only,1,1789930883707.422,0,,,1,1789930889970.8372,1789930883707.578,1789930890318.1477,-2363.037841796875,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,4.000833519967273
20260920T185807Z-b978900c-r2-q0-t6-target0,physical_v3_broker_only,0,6,2,1789930896377.2131,1,1789930890386.487,1,1789930890378.695,-5998.51806640625,1,1789930890985.826,0,0,0,ON_TIME_PRE_SERVICE,True,[],0,True,1789930890377.2131,target,physical_v3_broker_only,1,1789930890378.5542,0,,,1,1789930896639.601,1789930890378.695,1789930896970.5095,-5391.38720703125,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,3.138404863420874
20260920T185807Z-b978900c-r2-q0-t9-target0,physical_v3_broker_only,0,9,2,1789930906048.4375,1,1789930897054.101,1,1789930897050.177,-8998.260498046875,1,1789930897755.469,0,0,0,ON_TIME_PRE_SERVICE,True,[],0,True,1789930897048.4375,target,physical_v3_broker_only,1,1789930897050.045,0,,,1,1789930903367.828,1789930897050.177,1789930903754.7463,-8292.968505859375,0,0,0,NO_ATTRIBUTABLE_RISING_EDGE,,,0,,,,250,3.743547451449558
