command_id,role,test,rep,case,policy,target_trial_command_id,expires_at_ms,historical_v2_label,receipt_count,missing_receipt,stage_counts,stage_times,stage_contexts,ambiguous_contexts,context_linked_on,context_linked_off,observation_interval,physical_start_ms,all_on_within_window,other_owned_transitions,unmatched_on,unmatched_off,missing_off_after_positive_execution,stage_order_violation,history,postreview_audit_status
0032919272014a56bb3e096263ac432d,target,C1_physical_idle_short,1,physical_baseline_queued,physical_baseline_queued,0032919272014a56bb3e096263ac432d,1789787773607.712,ON_TIME_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787770611.0042], ""finished"": [1789787776832.119], ""off_confirmed"": [1789787776832.0151], ""off_request"": [1789787776305.5662], ""on_confirmed"": [1789787771305.777], ""on_request"": [1789787770611.136], ""rejected"": []}","[""01M2VTM3QJPG4HVM4V7JNKVWY0""]",[],"[{""at_ms"": 1789787771305.249, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTM3QJPG4HVM4V7JNKVWY0"", ""owner_command_id"": ""0032919272014a56bb3e096263ac432d"", ""state"": ""on"", ""transition_id"": 10}]","[{""at_ms"": 1789787776831.517, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTM3QJPG4HVM4V7JNKVWY0"", ""owner_command_id"": ""0032919272014a56bb3e096263ac432d"", ""state"": ""off"", ""transition_id"": 14}]","{""end_ms"": 1789787776844.303, ""receipt_or_first_stage_ms"": 1789787770611.0042, ""start_ms"": 1789787770611.0042}",1789787770611.0042,"[{""at_ms"": 1789787771305.249, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTM3QJPG4HVM4V7JNKVWY0"", ""owner_command_id"": ""0032919272014a56bb3e096263ac432d"", ""state"": ""on"", ""transition_id"": 10}]",[],[],[],False,False,ON_TIME_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
6d086944b4e8477f8bbf057703f9aaaa,target,C2_physical_queued_short,1,physical_baseline_queued,physical_baseline_queued,6d086944b4e8477f8bbf057703f9aaaa,1789787781658.2307,LATE_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787783595.957], ""finished"": [1789787789738.7148], ""off_confirmed"": [1789787789738.553], ""off_request"": [1789787789210.984], ""on_confirmed"": [1789787784209.861], ""on_request"": [1789787783596.226], ""rejected"": []}","[""01M2VTMBK4ESB749Q9REW6JA0A""]",[],"[{""at_ms"": 1789787784209.3179, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMBK4ESB749Q9REW6JA0A"", ""owner_command_id"": ""6d086944b4e8477f8bbf057703f9aaaa"", ""state"": ""on"", ""transition_id"": 40}]","[{""at_ms"": 1789787789737.767, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMBK4ESB749Q9REW6JA0A"", ""owner_command_id"": ""6d086944b4e8477f8bbf057703f9aaaa"", ""state"": ""off"", ""transition_id"": 45}]","{""end_ms"": 1789787789752.0918, ""receipt_or_first_stage_ms"": 1789787778662.618, ""start_ms"": 1789787783595.957}",1789787783595.957,"[{""at_ms"": 1789787784209.3179, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMBK4ESB749Q9REW6JA0A"", ""owner_command_id"": ""6d086944b4e8477f8bbf057703f9aaaa"", ""state"": ""on"", ""transition_id"": 40}]",[],[],[],False,False,LATE_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
5c81371aaf44497bbfd675e29a6b6a12,target,C3_physical_queued_long,1,physical_baseline_queued,physical_baseline_queued,5c81371aaf44497bbfd675e29a6b6a12,1789787811565.9402,ON_TIME_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787796705.312], ""finished"": [1789787802740.669], ""off_confirmed"": [1789787802740.5542], ""off_request"": [1789787802313.396], ""on_confirmed"": [1789787797312.358], ""on_request"": [1789787796705.511], ""rejected"": []}","[""01M2VTMR6GVENYQ5FKYN39JC9K""]",[],"[{""at_ms"": 1789787797311.695, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMR6GVENYQ5FKYN39JC9K"", ""owner_command_id"": ""5c81371aaf44497bbfd675e29a6b6a12"", ""state"": ""on"", ""transition_id"": 71}]","[{""at_ms"": 1789787802739.99, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMR6GVENYQ5FKYN39JC9K"", ""owner_command_id"": ""5c81371aaf44497bbfd675e29a6b6a12"", ""state"": ""off"", ""transition_id"": 75}]","{""end_ms"": 1789787802775.2122, ""receipt_or_first_stage_ms"": 1789787791570.822, ""start_ms"": 1789787796705.312}",1789787796705.312,"[{""at_ms"": 1789787797311.695, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMR6GVENYQ5FKYN39JC9K"", ""owner_command_id"": ""5c81371aaf44497bbfd675e29a6b6a12"", ""state"": ""on"", ""transition_id"": 71}]",[],[],[],False,False,ON_TIME_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
47c80f9314b34a67b11a2e5d2d8e5988,target,C5_physical_admission_short,1,physical_admission_queued,physical_admission_queued,47c80f9314b34a67b11a2e5d2d8e5988,1789787807590.7532,LATE_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787809707.302], ""finished"": [1789787815960.423], ""off_confirmed"": [1789787815960.296], ""off_request"": [1789787815322.299], ""on_confirmed"": [1789787810321.2422], ""on_request"": [1789787809707.5042], ""rejected"": []}","[""01M2VTN4XGPDXR9YX0058X2KQC""]",[],"[{""at_ms"": 1789787810320.624, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTN4XGPDXR9YX0058X2KQC"", ""owner_command_id"": ""47c80f9314b34a67b11a2e5d2d8e5988"", ""state"": ""on"", ""transition_id"": 102}]","[{""at_ms"": 1789787815959.698, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTN4XGPDXR9YX0058X2KQC"", ""owner_command_id"": ""47c80f9314b34a67b11a2e5d2d8e5988"", ""state"": ""off"", ""transition_id"": 107}]","{""end_ms"": 1789787815976.164, ""receipt_or_first_stage_ms"": 1789787804594.996, ""start_ms"": 1789787809707.302}",1789787809707.302,"[{""at_ms"": 1789787810320.624, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTN4XGPDXR9YX0058X2KQC"", ""owner_command_id"": ""47c80f9314b34a67b11a2e5d2d8e5988"", ""state"": ""on"", ""transition_id"": 102}]",[],[],[],False,False,LATE_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
2f1d7cd5d6ca4e01bc81ca0178f15fb9,target,C6_physical_execution_short,1,physical_execution_queued,physical_execution_queued,2f1d7cd5d6ca4e01bc81ca0178f15fb9,1789787820771.41,REJECTED_AT_EXECUTION_CHECK,1,False,"{""before_action"": 0, ""finished"": 0, ""off_confirmed"": 0, ""off_request"": 0, ""on_confirmed"": 0, ""on_request"": 0, ""rejected"": 1}","{""before_action"": [], ""finished"": [], ""off_confirmed"": [], ""off_request"": [], ""on_confirmed"": [], ""on_request"": [], ""rejected"": [1789787822819.2698]}","[""01M2VTNHSD90P60FA1JR0KM9ES""]",[],[],[],"{""end_ms"": 1789787822828.595, ""receipt_or_first_stage_ms"": 1789787817775.206, ""start_ms"": 1789787822819.2698}",1789787822819.2698,[],[],[],[],False,False,REJECTED_AT_EXECUTION_CHECK,CONSISTENT_WITH_HISTORICAL_LABEL
fa8b5cb39b324a10b3ef9fb1045017ea,target,C7_physical_execution_long,1,physical_execution_queued,physical_execution_queued,fa8b5cb39b324a10b3ef9fb1045017ea,1789787844442.134,ON_TIME_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787828713.2659], ""finished"": [1789787835090.444], ""off_confirmed"": [1789787835090.334], ""off_request"": [1789787834331.278], ""on_confirmed"": [1789787829331.1592], ""on_request"": [1789787828713.427], ""rejected"": []}","[""01M2VTNR9WP413YN77HRY0WZEC""]",[],"[{""at_ms"": 1789787829330.564, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNR9WP413YN77HRY0WZEC"", ""owner_command_id"": ""fa8b5cb39b324a10b3ef9fb1045017ea"", ""state"": ""on"", ""transition_id"": 155}]","[{""at_ms"": 1789787835089.822, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNR9WP413YN77HRY0WZEC"", ""owner_command_id"": ""fa8b5cb39b324a10b3ef9fb1045017ea"", ""state"": ""off"", ""transition_id"": 160}]","{""end_ms"": 1789787837090.444, ""receipt_or_first_stage_ms"": 1789787824446.433, ""start_ms"": 1789787828713.2659}",1789787828713.2659,"[{""at_ms"": 1789787829330.564, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNR9WP413YN77HRY0WZEC"", ""owner_command_id"": ""fa8b5cb39b324a10b3ef9fb1045017ea"", ""state"": ""on"", ""transition_id"": 155}]",[],[],[],False,False,ON_TIME_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
65a5e121c7e641bf9c70ab2ac45cd248,target,C1_physical_idle_short,2,physical_baseline_queued,physical_baseline_queued,65a5e121c7e641bf9c70ab2ac45cd248,1789787843390.9111,ON_TIME_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787840392.4102], ""finished"": [1789787846773.186], ""off_confirmed"": [1789787846773.0562], ""off_request"": [1789787845831.643], ""on_confirmed"": [1789787840829.621], ""on_request"": [1789787840392.528], ""rejected"": []}","[""01M2VTP7W7275DDTHXZNSEE98X""]",[],"[{""at_ms"": 1789787840829.0962, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTP7W7275DDTHXZNSEE98X"", ""owner_command_id"": ""65a5e121c7e641bf9c70ab2ac45cd248"", ""state"": ""on"", ""transition_id"": 172}]","[{""at_ms"": 1789787846772.4358, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTP7W7275DDTHXZNSEE98X"", ""owner_command_id"": ""65a5e121c7e641bf9c70ab2ac45cd248"", ""state"": ""off"", ""transition_id"": 177}]","{""end_ms"": 1789787846803.176, ""receipt_or_first_stage_ms"": 1789787840392.4102, ""start_ms"": 1789787840392.4102}",1789787840392.4102,"[{""at_ms"": 1789787840829.0962, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTP7W7275DDTHXZNSEE98X"", ""owner_command_id"": ""65a5e121c7e641bf9c70ab2ac45cd248"", ""state"": ""on"", ""transition_id"": 172}]",[],[],[],False,False,ON_TIME_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
c5c8d873aa8c4d33851707e099395991,target,C2_physical_queued_short,2,physical_baseline_queued,physical_baseline_queued,c5c8d873aa8c4d33851707e099395991,1789787851419.5085,LATE_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787852818.348], ""finished"": [1789787859577.172], ""off_confirmed"": [1789787859577.038], ""off_request"": [1789787858640.871], ""on_confirmed"": [1789787853639.431], ""on_request"": [1789787852818.625], ""rejected"": []}","[""01M2VTPFQ60VKPB32K2G26B3V0""]",[],"[{""at_ms"": 1789787853638.378, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPFQ60VKPB32K2G26B3V0"", ""owner_command_id"": ""c5c8d873aa8c4d33851707e099395991"", ""state"": ""on"", ""transition_id"": 204}]","[{""at_ms"": 1789787859576.4192, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPFQ60VKPB32K2G26B3V0"", ""owner_command_id"": ""c5c8d873aa8c4d33851707e099395991"", ""state"": ""off"", ""transition_id"": 209}]","{""end_ms"": 1789787859604.5352, ""receipt_or_first_stage_ms"": 1789787848424.011, ""start_ms"": 1789787852818.348}",1789787852818.348,"[{""at_ms"": 1789787853638.378, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPFQ60VKPB32K2G26B3V0"", ""owner_command_id"": ""c5c8d873aa8c4d33851707e099395991"", ""state"": ""on"", ""transition_id"": 204}]",[],[],[],False,False,LATE_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
37e6c05669d8482eb203bea0b23dff06,target,C3_physical_queued_long,2,physical_baseline_queued,physical_baseline_queued,37e6c05669d8482eb203bea0b23dff06,1789787881143.0571,ON_TIME_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787865824.172], ""finished"": [1789787872585.136], ""off_confirmed"": [1789787872585.0078], ""off_request"": [1789787871646.235], ""on_confirmed"": [1789787866644.044], ""on_request"": [1789787865824.359], ""rejected"": []}","[""01M2VTPW4TNMYQ74P2AJ6QQG02""]",[],"[{""at_ms"": 1789787866643.495, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPW4TNMYQ74P2AJ6QQG02"", ""owner_command_id"": ""37e6c05669d8482eb203bea0b23dff06"", ""state"": ""on"", ""transition_id"": 234}]","[{""at_ms"": 1789787872584.255, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPW4TNMYQ74P2AJ6QQG02"", ""owner_command_id"": ""37e6c05669d8482eb203bea0b23dff06"", ""state"": ""off"", ""transition_id"": 239}]","{""end_ms"": 1789787872602.597, ""receipt_or_first_stage_ms"": 1789787861148.268, ""start_ms"": 1789787865824.172}",1789787865824.172,"[{""at_ms"": 1789787866643.495, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPW4TNMYQ74P2AJ6QQG02"", ""owner_command_id"": ""37e6c05669d8482eb203bea0b23dff06"", ""state"": ""on"", ""transition_id"": 234}]",[],[],[],False,False,ON_TIME_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
27f3de1363b342b08abc99eadff6d125,target,C5_physical_admission_short,2,physical_admission_queued,physical_admission_queued,27f3de1363b342b08abc99eadff6d125,1789787877220.089,LATE_PHYSICAL_REQUEST,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787878936.6218], ""finished"": [1789787885328.806], ""off_confirmed"": [1789787885328.6409], ""off_request"": [1789787884679.889], ""on_confirmed"": [1789787879678.862], ""on_request"": [1789787878936.79], ""rejected"": []}","[""01M2VTQ8XEW8833CBV81GSKWYE""]",[],"[{""at_ms"": 1789787879678.109, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQ8XEW8833CBV81GSKWYE"", ""owner_command_id"": ""27f3de1363b342b08abc99eadff6d125"", ""state"": ""on"", ""transition_id"": 264}]","[{""at_ms"": 1789787885327.789, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQ8XEW8833CBV81GSKWYE"", ""owner_command_id"": ""27f3de1363b342b08abc99eadff6d125"", ""state"": ""off"", ""transition_id"": 268}]","{""end_ms"": 1789787885381.48, ""receipt_or_first_stage_ms"": 1789787874224.5989, ""start_ms"": 1789787878936.6218}",1789787878936.6218,"[{""at_ms"": 1789787879678.109, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQ8XEW8833CBV81GSKWYE"", ""owner_command_id"": ""27f3de1363b342b08abc99eadff6d125"", ""state"": ""on"", ""transition_id"": 264}]",[],[],[],False,False,LATE_PHYSICAL_REQUEST,CONSISTENT_WITH_HISTORICAL_LABEL
