command_id,role,test,rep,case,policy,target_trial_command_id,expires_at_ms,historical_v2_label,receipt_count,missing_receipt,stage_counts,stage_times,stage_contexts,ambiguous_contexts,context_linked_on,context_linked_off,observation_interval,physical_start_ms,all_on_within_window,other_owned_transitions,unmatched_on,unmatched_off,missing_off_after_positive_execution,stage_order_violation,history,postreview_audit_status
ad4dfe373caa41c2bf72390f8dcf6e3c,blocker,C2_physical_queued_short,1,physical_baseline_queued,physical_baseline_queued,6d086944b4e8477f8bbf057703f9aaaa,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787776844.303], ""finished"": [1789787783593.799], ""off_confirmed"": [1789787783593.698], ""off_request"": [1789787782654.619], ""on_confirmed"": [1789787777653.761], ""on_request"": [1789787776844.418], ""rejected"": []}","[""01M2VTM9TBMDBZNHF1C2KRPZ81""]",[],"[{""at_ms"": 1789787777653.172, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTM9TBMDBZNHF1C2KRPZ81"", ""owner_command_id"": ""ad4dfe373caa41c2bf72390f8dcf6e3c"", ""state"": ""on"", ""transition_id"": 24}]","[{""at_ms"": 1789787783593.078, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTM9TBMDBZNHF1C2KRPZ81"", ""owner_command_id"": ""ad4dfe373caa41c2bf72390f8dcf6e3c"", ""state"": ""off"", ""transition_id"": 33}]","{""end_ms"": 1789787783595.957, ""receipt_or_first_stage_ms"": 1789787776844.303, ""start_ms"": 1789787776844.303}",1789787776844.303,"[{""at_ms"": 1789787777653.172, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTM9TBMDBZNHF1C2KRPZ81"", ""owner_command_id"": ""ad4dfe373caa41c2bf72390f8dcf6e3c"", ""state"": ""on"", ""transition_id"": 24}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
a7adf327934a48bdbd2f45e5b9ff0baf,blocker,C3_physical_queued_long,1,physical_baseline_queued,physical_baseline_queued,5c81371aaf44497bbfd675e29a6b6a12,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787789752.0918], ""finished"": [1789787796702.7239], ""off_confirmed"": [1789787796702.595], ""off_request"": [1789787795564.2148], ""on_confirmed"": [1789787790563.031], ""on_request"": [1789787789752.265], ""rejected"": []}","[""01M2VTMPDQYSKHSWQCYBBKJTMF""]",[],"[{""at_ms"": 1789787790562.4658, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMPDQYSKHSWQCYBBKJTMF"", ""owner_command_id"": ""a7adf327934a48bdbd2f45e5b9ff0baf"", ""state"": ""on"", ""transition_id"": 56}]","[{""at_ms"": 1789787796701.8398, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMPDQYSKHSWQCYBBKJTMF"", ""owner_command_id"": ""a7adf327934a48bdbd2f45e5b9ff0baf"", ""state"": ""off"", ""transition_id"": 65}]","{""end_ms"": 1789787796705.312, ""receipt_or_first_stage_ms"": 1789787789752.0918, ""start_ms"": 1789787789752.0918}",1789787789752.0918,"[{""at_ms"": 1789787790562.4658, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTMPDQYSKHSWQCYBBKJTMF"", ""owner_command_id"": ""a7adf327934a48bdbd2f45e5b9ff0baf"", ""state"": ""on"", ""transition_id"": 56}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
b4339f1bf9a3441cb0cc4ab555ac913d,blocker,C5_physical_admission_short,1,physical_admission_queued,physical_admission_queued,47c80f9314b34a67b11a2e5d2d8e5988,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787802775.2122], ""finished"": [1789787809704.77], ""off_confirmed"": [1789787809704.4219], ""off_request"": [1789787808563.477], ""on_confirmed"": [1789787803561.8132], ""on_request"": [1789787802775.351], ""rejected"": []}","[""01M2VTN34PAHH6RYCFVAB0B05A""]",[],"[{""at_ms"": 1789787803561.241, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTN34PAHH6RYCFVAB0B05A"", ""owner_command_id"": ""b4339f1bf9a3441cb0cc4ab555ac913d"", ""state"": ""on"", ""transition_id"": 86}]","[{""at_ms"": 1789787809703.66, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTN34PAHH6RYCFVAB0B05A"", ""owner_command_id"": ""b4339f1bf9a3441cb0cc4ab555ac913d"", ""state"": ""off"", ""transition_id"": 96}]","{""end_ms"": 1789787809707.302, ""receipt_or_first_stage_ms"": 1789787802775.2122, ""start_ms"": 1789787802775.2122}",1789787802775.2122,"[{""at_ms"": 1789787803561.241, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTN34PAHH6RYCFVAB0B05A"", ""owner_command_id"": ""b4339f1bf9a3441cb0cc4ab555ac913d"", ""state"": ""on"", ""transition_id"": 86}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
59f63e3dde944ad3b8705800e5fbda74,blocker,C6_physical_execution_short,1,physical_execution_queued,physical_execution_queued,2f1d7cd5d6ca4e01bc81ca0178f15fb9,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787815976.164], ""finished"": [1789787822816.528], ""off_confirmed"": [1789787822816.406], ""off_request"": [1789787821754.025], ""on_confirmed"": [1789787816751.105], ""on_request"": [1789787815976.293], ""rejected"": []}","[""01M2VTNG17FR75GMCE9DT0MS4F""]",[],"[{""at_ms"": 1789787816750.4138, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNG17FR75GMCE9DT0MS4F"", ""owner_command_id"": ""59f63e3dde944ad3b8705800e5fbda74"", ""state"": ""on"", ""transition_id"": 117}]","[{""at_ms"": 1789787822815.6519, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNG17FR75GMCE9DT0MS4F"", ""owner_command_id"": ""59f63e3dde944ad3b8705800e5fbda74"", ""state"": ""off"", ""transition_id"": 126}]","{""end_ms"": 1789787822819.2698, ""receipt_or_first_stage_ms"": 1789787815976.164, ""start_ms"": 1789787815976.164}",1789787815976.164,"[{""at_ms"": 1789787816750.4138, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNG17FR75GMCE9DT0MS4F"", ""owner_command_id"": ""59f63e3dde944ad3b8705800e5fbda74"", ""state"": ""on"", ""transition_id"": 117}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
356c6285fd864a2492ebfaa209cd23d2,blocker,C7_physical_execution_long,1,physical_execution_queued,physical_execution_queued,fa8b5cb39b324a10b3ef9fb1045017ea,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787822828.595], ""finished"": [1789787828710.718], ""off_confirmed"": [1789787828710.5962], ""off_request"": [1789787828432.8352], ""on_confirmed"": [1789787823430.978], ""on_request"": [1789787822828.706], ""rejected"": []}","[""01M2VTNPQBBG2KS91YPEZ9N23X""]",[],"[{""at_ms"": 1789787823430.479, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNPQBBG2KS91YPEZ9N23X"", ""owner_command_id"": ""356c6285fd864a2492ebfaa209cd23d2"", ""state"": ""on"", ""transition_id"": 139}]","[{""at_ms"": 1789787828710.044, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNPQBBG2KS91YPEZ9N23X"", ""owner_command_id"": ""356c6285fd864a2492ebfaa209cd23d2"", ""state"": ""off"", ""transition_id"": 148}]","{""end_ms"": 1789787828713.2659, ""receipt_or_first_stage_ms"": 1789787822828.595, ""start_ms"": 1789787822828.595}",1789787822828.595,"[{""at_ms"": 1789787823430.479, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTNPQBBG2KS91YPEZ9N23X"", ""owner_command_id"": ""356c6285fd864a2492ebfaa209cd23d2"", ""state"": ""on"", ""transition_id"": 139}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
fb4f0d65bf284c4395d36746b86faf74,blocker,C2_physical_queued_short,2,physical_baseline_queued,physical_baseline_queued,c5c8d873aa8c4d33851707e099395991,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787846803.176], ""finished"": [1789787852815.827], ""off_confirmed"": [1789787852815.713], ""off_request"": [1789787852395.376], ""on_confirmed"": [1789787847393.902], ""on_request"": [1789787846803.332], ""rejected"": []}","[""01M2VTPE4J1A5FK8Z3RA8ZM0KY""]",[],"[{""at_ms"": 1789787847393.314, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPE4J1A5FK8Z3RA8ZM0KY"", ""owner_command_id"": ""fb4f0d65bf284c4395d36746b86faf74"", ""state"": ""on"", ""transition_id"": 188}]","[{""at_ms"": 1789787852815.216, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPE4J1A5FK8Z3RA8ZM0KY"", ""owner_command_id"": ""fb4f0d65bf284c4395d36746b86faf74"", ""state"": ""off"", ""transition_id"": 197}]","{""end_ms"": 1789787852818.348, ""receipt_or_first_stage_ms"": 1789787846803.176, ""start_ms"": 1789787846803.176}",1789787846803.176,"[{""at_ms"": 1789787847393.314, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPE4J1A5FK8Z3RA8ZM0KY"", ""owner_command_id"": ""fb4f0d65bf284c4395d36746b86faf74"", ""state"": ""on"", ""transition_id"": 188}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
690f725a028d4c519be3c04ae15fd38e,blocker,C3_physical_queued_long,2,physical_baseline_queued,physical_baseline_queued,37e6c05669d8482eb203bea0b23dff06,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787859604.5352], ""finished"": [1789787865821.878], ""off_confirmed"": [1789787865821.765], ""off_request"": [1789787865126.7122], ""on_confirmed"": [1789787860126.334], ""on_request"": [1789787859604.6702], ""rejected"": []}","[""01M2VTPTMK2Z64N18926SKENHX""]",[],"[{""at_ms"": 1789787860125.685, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPTMK2Z64N18926SKENHX"", ""owner_command_id"": ""690f725a028d4c519be3c04ae15fd38e"", ""state"": ""on"", ""transition_id"": 219}]","[{""at_ms"": 1789787865821.231, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPTMK2Z64N18926SKENHX"", ""owner_command_id"": ""690f725a028d4c519be3c04ae15fd38e"", ""state"": ""off"", ""transition_id"": 227}]","{""end_ms"": 1789787865824.172, ""receipt_or_first_stage_ms"": 1789787859604.5352, ""start_ms"": 1789787859604.5352}",1789787859604.5352,"[{""at_ms"": 1789787860125.685, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTPTMK2Z64N18926SKENHX"", ""owner_command_id"": ""690f725a028d4c519be3c04ae15fd38e"", ""state"": ""on"", ""transition_id"": 219}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
a493d66996744d759abfab47f2a08e1f,blocker,C5_physical_admission_short,2,physical_admission_queued,physical_admission_queued,27f3de1363b342b08abc99eadff6d125,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787872602.597], ""finished"": [1789787878934.443], ""off_confirmed"": [1789787878934.325], ""off_request"": [1789787878197.614], ""on_confirmed"": [1789787873195.82], ""on_request"": [1789787872602.71], ""rejected"": []}","[""01M2VTQ7AS6TQCJCFZQQDVAPPY""]",[],"[{""at_ms"": 1789787873195.314, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQ7AS6TQCJCFZQQDVAPPY"", ""owner_command_id"": ""a493d66996744d759abfab47f2a08e1f"", ""state"": ""on"", ""transition_id"": 250}]","[{""at_ms"": 1789787878933.794, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQ7AS6TQCJCFZQQDVAPPY"", ""owner_command_id"": ""a493d66996744d759abfab47f2a08e1f"", ""state"": ""off"", ""transition_id"": 258}]","{""end_ms"": 1789787878936.6218, ""receipt_or_first_stage_ms"": 1789787872602.597, ""start_ms"": 1789787872602.597}",1789787872602.597,"[{""at_ms"": 1789787873195.314, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQ7AS6TQCJCFZQQDVAPPY"", ""owner_command_id"": ""a493d66996744d759abfab47f2a08e1f"", ""state"": ""on"", ""transition_id"": 250}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
697b5b63ba8a430da5d630b32c5b50ae,blocker,C6_physical_execution_short,2,physical_execution_queued,physical_execution_queued,53a5c6c207104ed9bd029335b0d3e5e8,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787885381.48], ""finished"": [1789787891619.95], ""off_confirmed"": [1789787891619.8271], ""off_request"": [1789787890863.2861], ""on_confirmed"": [1789787885861.624], ""on_request"": [1789787885381.591], ""rejected"": []}","[""01M2VTQKT4VEPFSTD0EEQX7F82""]",[],"[{""at_ms"": 1789787885860.973, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQKT4VEPFSTD0EEQX7F82"", ""owner_command_id"": ""697b5b63ba8a430da5d630b32c5b50ae"", ""state"": ""on"", ""transition_id"": 278}]","[{""at_ms"": 1789787891619.206, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQKT4VEPFSTD0EEQX7F82"", ""owner_command_id"": ""697b5b63ba8a430da5d630b32c5b50ae"", ""state"": ""off"", ""transition_id"": 286}]","{""end_ms"": 1789787891622.3901, ""receipt_or_first_stage_ms"": 1789787885381.48, ""start_ms"": 1789787885381.48}",1789787885381.48,"[{""at_ms"": 1789787885860.973, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQKT4VEPFSTD0EEQX7F82"", ""owner_command_id"": ""697b5b63ba8a430da5d630b32c5b50ae"", ""state"": ""on"", ""transition_id"": 278}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
fb904d24c2d948159a79e05496968578,blocker,C7_physical_execution_long,2,physical_execution_queued,physical_execution_queued,3f480fc0b86b4ef5be8f1b6a1ad750be,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787891645.8699], ""finished"": [1789787897847.814], ""off_confirmed"": [1789787897847.644], ""off_request"": [1789787897267.026], ""on_confirmed"": [1789787892267.9219], ""on_request"": [1789787891645.988], ""rejected"": []}","[""01M2VTQSXXNCHABTW2G3YJCKKA""]",[],"[{""at_ms"": 1789787892267.3718, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQSXXNCHABTW2G3YJCKKA"", ""owner_command_id"": ""fb904d24c2d948159a79e05496968578"", ""state"": ""on"", ""transition_id"": 299}]","[{""at_ms"": 1789787897846.673, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQSXXNCHABTW2G3YJCKKA"", ""owner_command_id"": ""fb904d24c2d948159a79e05496968578"", ""state"": ""off"", ""transition_id"": 307}]","{""end_ms"": 1789787897849.953, ""receipt_or_first_stage_ms"": 1789787891645.8699, ""start_ms"": 1789787891645.8699}",1789787891645.8699,"[{""at_ms"": 1789787892267.3718, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTQSXXNCHABTW2G3YJCKKA"", ""owner_command_id"": ""fb904d24c2d948159a79e05496968578"", ""state"": ""on"", ""transition_id"": 299}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
bfd9ff0e1bad4b93ae1d9fd560291431,blocker,C2_physical_queued_short,3,physical_baseline_queued,physical_baseline_queued,1482793062ba4443962e7cfe6136075d,,,1,False,"{""before_action"": 1, ""finished"": 1, ""off_confirmed"": 1, ""off_request"": 1, ""on_confirmed"": 1, ""on_request"": 1, ""rejected"": 0}","{""before_action"": [1789787915808.5798], ""finished"": [1789787921758.731], ""off_confirmed"": [1789787921758.6091], ""off_request"": [1789787921283.622], ""on_confirmed"": [1789787916281.594], ""on_request"": [1789787915808.799], ""rejected"": []}","[""01M2VTRHH0KJBSS8MK9T185YWT""]",[],"[{""at_ms"": 1789787916280.937, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTRHH0KJBSS8MK9T185YWT"", ""owner_command_id"": ""bfd9ff0e1bad4b93ae1d9fd560291431"", ""state"": ""on"", ""transition_id"": 346}]","[{""at_ms"": 1789787921758.114, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTRHH0KJBSS8MK9T185YWT"", ""owner_command_id"": ""bfd9ff0e1bad4b93ae1d9fd560291431"", ""state"": ""off"", ""transition_id"": 355}]","{""end_ms"": 1789787921761.071, ""receipt_or_first_stage_ms"": 1789787915808.5798, ""start_ms"": 1789787915808.5798}",1789787915808.5798,"[{""at_ms"": 1789787916280.937, ""classification"": ""OWNED_BY_COMMAND"", ""context_id"": ""01M2VTRHH0KJBSS8MK9T185YWT"", ""owner_command_id"": ""bfd9ff0e1bad4b93ae1d9fd560291431"", ""state"": ""on"", ""transition_id"": 346}]",[],[],[],False,False,,EXECUTION_SEQUENCE_VERIFIED
