"target","request_utc_ms","service_return_ms","observed_transition_ms","final_state","cycle"
"on","1789785022831","94.41","695.524","on","1"
"off","1789785024554","211.688","838.479","off","1"
"on","1789785026401","208.73","837.149","on","2"
"off","1789785028242","108.95","754.519","off","2"
"on","1789785030009","168.538","840.297","on","3"
"off","1789785031850","186.308","802.519","off","3"
"on","1789785033669","119.03","770.61","on","4"
"off","1789785035455","166.339","928.466","off","4"
"on","1789785037398","321.696","938.702","on","5"
"off","1789785039344","167.822","788.689","off","5"
"on","1789785041147","213.914","845.144","on","6"
"off","1789785043006","167.594","845.921","off","6"
"on","1789785044869","173.353","901.749","on","7"
"off","1789785046772","109.595","641.368","off","7"
"on","1789785048425","201.317","958.64","on","8"
"off","1789785050389","182.831","820.9","off","8"
"on","1789785052225","135.131","830.075","on","9"
"off","1789785054067","191.836","1050.33","off","9"
"on","1789785056133","174.519","922.864","on","10"
"off","1789785058068","106.492","920.455","off","10"
