backlog,case,clock_bound_ms,command_id,executed_at_ms,execution_count,expires_at_ms,lateness_ms,note,outcome,receipt_count,received_at_ms,rep,terminal_observed,test,ttl_s,wall_mono_drift_ms
,broker_offline,,e1d1c8e6ee114d319cde22fab68c60e5,,0,,,Persistent session resumed; long-lived queued sentinel delivered.,BROKER_CONTROL_PASS,,,1,,C0_broker_offline,,
False,baseline_queued,250,eebe64d4008d400c9dd865104d4e0b6a,1789596885770.302,1,1789596888768.763,-2998.4609375,,ON_TIME_VIRTUAL_ACTUATION,1,1789596885771.166,1,True,C1_idle_short,3,0.0024170149117708206
True,baseline_queued,250,2e131ebf3be343d3966e811ed7869619,1789596902148.0032,1,1789596897421.2332,4726.77001953125,,LATE_VIRTUAL_ACTUATION,1,1789596894425.144,1,True,C2_queued_short,3,0.0018486753106117249
True,baseline_queued,250,ee6944ff17e94a1da9e9858e4f051dfa,1789596918512.1829,1,1789596940783.9016,-22271.71875,,ON_TIME_VIRTUAL_ACTUATION,1,1789596910786.019,1,True,C3_queued_long,30,0.0006402842700481415
True,baseline_parallel,250,d617fdf5f9654bf891ba6cacc135372a,1789596927145.052,1,1789596930143.0386,-2997.986572265625,,ON_TIME_VIRTUAL_ACTUATION,1,1789596927147.096,1,True,C4_parallel_short,3,0.0010943040251731873
True,admission_queued,250,4047ae010caa4958ab1973e68df5a4b3,1789596943520.06,1,1789596938792.5432,4727.516845703125,,LATE_VIRTUAL_ACTUATION,1,1789596935797.5781,1,True,C5_admission_short,3,0.002250075340270996
True,execution_queued,250,eb216324df194688870990a9a94a1f90,,0,1789596955162.7222,,,REJECTED_AT_EXECUTION_CHECK,1,1789596952165.395,1,True,C6_execution_short,3,0.0007112976163625717
True,execution_queued,250,662a292f284e4a2eb0d86a41cb060154,1789596968265.4778,1,1789596990540.661,-22275.18310546875,,ON_TIME_VIRTUAL_ACTUATION,1,1789596960543.138,1,True,C7_execution_long,30,0.0015676487237215042
,broker_offline,,03c367b1c52d4dae92fdeb7fc5bc01ae,,0,,,Persistent session resumed; long-lived queued sentinel delivered.,BROKER_CONTROL_PASS,,,2,,C0_broker_offline,,
False,baseline_queued,250,0b1181a4ca1843e4b1998b46f89a87d9,1789596983892.479,1,1789596986890.2231,-2997.744140625,,ON_TIME_VIRTUAL_ACTUATION,1,1789596983896.2268,2,True,C1_idle_short,3,0.0011008232831954956
True,baseline_queued,250,9878c52a21ee417a8e1f64bddcbc27b0,1789597000258.84,1,1789596995532.4565,4726.383544921875,,LATE_VIRTUAL_ACTUATION,1,1789596992534.624,2,True,C2_queued_short,3,0.0018137507140636444
True,baseline_queued,250,56c8fae804af4d02ad2feb420286e80f,1789597016632.639,1,1789597038907.3047,-22274.665771484375,,ON_TIME_VIRTUAL_ACTUATION,1,1789597008910.286,2,True,C3_queued_long,30,0.00096089206635952
True,baseline_parallel,250,ca0397ccb8ed4435b9e092cefd290c48,1789597025270.125,1,1789597028267.8767,-2997.751708984375,,ON_TIME_VIRTUAL_ACTUATION,1,1789597025273.7688,2,True,C4_parallel_short,3,0.0013294629752635956
True,admission_queued,250,872e243644a94a39b2f13a424f7f473f,1789597041639.1301,1,1789597036912.972,4726.158203125,,LATE_VIRTUAL_ACTUATION,1,1789597033916.606,2,True,C5_admission_short,3,0.0008039642125368118
True,execution_queued,250,f338a5d2b7434e32978c71ffeea11f08,,0,1789597053279.8313,,,REJECTED_AT_EXECUTION_CHECK,1,1789597050284.4,2,True,C6_execution_short,3,0.002698274329304695
True,execution_queued,250,82381e0413454943bb671776f445d2ed,1789597066368.267,1,1789597088638.004,-22269.73681640625,,ON_TIME_VIRTUAL_ACTUATION,1,1789597058640.558,2,True,C7_execution_long,30,0.00019813887774944305
,broker_offline,,57e9370e55b449018844af2ddf5b8ebc,,0,,,Persistent session resumed; long-lived queued sentinel delivered.,BROKER_CONTROL_PASS,,,3,,C0_broker_offline,,
False,baseline_queued,250,145b2f04091c4faa9a9edf6c08e4ae44,1789597082022.5479,1,1789597085021.2825,-2998.734619140625,,ON_TIME_VIRTUAL_ACTUATION,1,1789597082024.709,3,True,C1_idle_short,3,0.002952292561531067
True,baseline_queued,250,94c7491cbe954633955164da24ca46c7,1789597098396.5261,1,1789597093665.6113,4730.914794921875,,LATE_VIRTUAL_ACTUATION,1,1789597090668.113,3,True,C2_queued_short,3,0.0017986167222261429
True,baseline_queued,250,3103a62b2f1d405c8a951c9d7d68e97a,1789597114780.812,1,1789597137051.0173,-22270.205322265625,,ON_TIME_VIRTUAL_ACTUATION,1,1789597107055.4358,3,True,C3_queued_long,30,0.0012898817658424377
True,baseline_parallel,250,2499bcfecf774bc796ab2fe0a1bbad3f,1789597123419.6848,1,1789597126416.6194,-2996.9345703125,,ON_TIME_VIRTUAL_ACTUATION,1,1789597123424.4558,3,True,C4_parallel_short,3,0.0004782341420650482
